name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"lagos, Nigeria",2/1/2023,34,25,28.4,40.6,25,31.6,24.4,80.4,0,0,0,,0,,25.9,26.3,188.7,1011.1,42.9,10.1,273.9,23.7,9,60,2023-02-01T07:04:32,2023-02-01T18:55:36,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
"lagos, Nigeria",2/2/2023,34,25,29,42,25,33.5,24.9,79.6,0,0,0,rain,0,,39.6,21.7,191.8,1011.6,54.3,9.5,188.9,16.4,9,75,2023-02-02T07:04:31,2023-02-02T18:55:52,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"lagos, Nigeria",2/3/2023,34.1,25,29.2,42,25,34.2,25.2,80.2,0.1,100,4.17,rain,0,,27.7,16.6,182.1,1011.5,47.7,10.2,268.3,23.3,9,75,2023-02-03T07:04:30,2023-02-03T18:56:07,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/4/2023,34,25,29.1,42,25,33.9,25.3,81.5,0,0,0,rain,0,,29.2,21.3,193.3,1011.4,52.6,9.5,230.7,20,9,75,2023-02-04T07:04:28,2023-02-04T18:56:22,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"lagos, Nigeria",2/5/2023,35,26.9,29.5,42,30.8,35.1,25.3,79.3,0,0,0,rain,0,,29.9,24.1,208.2,1011.1,57.7,11.3,175.9,15.2,7,75,2023-02-05T07:04:24,2023-02-05T18:56:36,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/6/2023,34,26,29.3,42,26,33.6,24.7,77.9,0,0,0,rain,0,,29.2,22.3,205.8,1010.8,58,10.8,250,21.5,9,75,2023-02-06T07:04:20,2023-02-06T18:56:49,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/7/2023,34,25,28.8,40.1,25,32.4,23.8,75.4,1,100,8.33,rain,0,,23,22.7,195.6,1010.7,62.3,12.5,231.9,20,9,75,2023-02-07T07:04:15,2023-02-07T18:57:01,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/8/2023,34.5,25,28.9,42.6,25,33.8,25.3,82,0,0,0,rain,0,,24.8,16.6,190.8,1011.2,50.7,9.1,276.6,23.9,9,60,2023-02-08T07:04:09,2023-02-08T18:57:13,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"lagos, Nigeria",2/9/2023,33.5,25,29.1,40.6,25,33.5,24.9,79.6,0,0,0,rain,0,,25.9,18.4,196.9,1010.9,48.8,10.1,273,23.5,9,60,2023-02-09T07:04:02,2023-02-09T18:57:24,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/10/2023,36.5,25.9,29.4,41.9,25.9,34.4,25,78.5,0,0,0,rain,0,,24.8,37.1,189.1,1010.8,50.6,10.6,245.8,21.4,9,60,2023-02-10T07:03:55,2023-02-10T18:57:35,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,65203099999,DNMM,remote,65201099999"
"lagos, Nigeria",2/11/2023,35,26,29.5,43.3,26,35.3,25.6,80.7,0,0,0,rain,0,,26.3,23.8,204.3,1010.5,57.2,10.8,263.6,22.9,9,75,2023-02-11T07:03:46,2023-02-11T18:57:44,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/12/2023,35.1,25.9,29.4,43.3,25.9,34.6,25.4,80.8,0,0,0,rain,0,,25.6,25.2,203.9,1009.8,42.9,9.9,284.6,24.8,10,75,2023-02-12T07:03:36,2023-02-12T18:57:53,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
"lagos, Nigeria",2/13/2023,34.5,26,29.4,42.7,26,35.1,25.7,81.6,0,0,0,rain,0,,26.6,14.8,206.3,1010.4,45.2,8.2,256,22.1,10,60,2023-02-13T07:03:26,2023-02-13T18:58:01,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"lagos, Nigeria",2/14/2023,35,25.6,29.7,39.5,25.6,33.5,24.2,74.8,0,0,0,,0,,23,17.4,187.7,1010.5,50.8,7.2,288.8,24.9,10,60,2023-02-14T07:03:15,2023-02-14T18:58:09,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/15/2023,35,26,29.8,39.1,26,33,23,69.7,0,0,0,,0,,27.7,24.6,204.7,1009.5,38.4,5.6,278.1,23.9,10,60,2023-02-15T07:03:03,2023-02-15T18:58:16,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"lagos, Nigeria",2/16/2023,36,25,29.4,35.9,25,30.6,20.8,64.5,0,0,0,,0,,25.9,22.3,354.4,1009,28.1,3.8,296.5,25.6,10,30,2023-02-16T07:02:50,2023-02-16T18:58:22,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"lagos, Nigeria",2/17/2023,36,24.8,29.1,35.1,24.8,29.3,16.8,51.4,0,0,0,,0,,23.8,22.3,30,1011.3,27.1,1.6,301.9,26,10,10,2023-02-17T07:02:36,2023-02-17T18:58:28,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"lagos, Nigeria",2/18/2023,36,22,28.6,34.8,22,28.4,15,48.1,0,0,0,,0,,24.5,16.7,155.2,1009.5,28.8,2.4,299.3,25.9,10,10,2023-02-18T07:02:22,2023-02-18T18:58:33,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
"lagos, Nigeria",2/19/2023,35,24,28.9,37.2,24,30.2,19.3,57.1,0,0,0,,0,,23.8,21.2,239.9,1009.8,33.5,1.1,295,25.5,10,10,2023-02-19T07:02:07,2023-02-19T18:58:37,0.97,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VRJU8,DNMM"
"lagos, Nigeria",2/20/2023,35,25,29.5,40.5,25,32.9,22.8,68.9,0,0,0,,0,,23.8,18.4,205.8,1009.9,24.8,1.8,295.8,25.7,10,15,2023-02-20T07:01:51,2023-02-20T18:58:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM"
